Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,e7e6	10	0.03815263234515602	0.1426915299576491	3	0	5	0.375	0.0	0.625
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,c8b7	10	0.03815263234515602	0.1426915299576491	2	0	1	0.6666666666666666	0.0	0.3333333333333333
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,a7a5	10	0.03815263234515602	0.1426915299576491	1	0	1	0.5	0.0	0.5
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,c8a6	10	0.03815263234515602	0.1426915299576491	0	0	1	0.0	0.0	1.0
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,c5c4	10	0.03815263234515602	0.1426915299576491	0	0	1	0.0	0.0	1.0
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,b1c3,d8b6	10	0.03815263234515602	0.1426915299576491	1	0	0	1.0	0.0	0.0
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,g7g6,f2f3	9	0.0013796044412368084	0.0051597453794414655	75	14	79	0.44642857142857145	0.08333333333333333	0.47023809523809523
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6	8	0.04449224322988707	0.16640178848698728	2949	296	2850	0.48383921246923706	0.04856439704675964	0.46759639048400325
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3	9	0.037980827157522955	0.1420489754713363	4055	376	4116	0.47443547443547446	0.04399204399204399	0.48157248157248156
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6	10	0.037980827157522955	0.1420489754713363	10822	1261	11508	0.4587342630664236	0.05345258785129922	0.48781314908227713
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,e2e4	11	0.02705395360752048	0.10118227221484188	9497	1097	9779	0.4661561871103912	0.05384577627251755	0.47999803661709123
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,e2e4,g7g6	12	0.02705395360752048	0.10118227221484188	15572	1857	16866	0.45406035865286487	0.05414783496136463	0.4917918063857705
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,e2e4,g7g6,g1f3	13	0.009452909347686774	0.035354050676496586	5688	697	5598	0.47467245264124175	0.058165734790953855	0.46716181256780437
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,e2e4,g7g6,b5a6	13	0.005532275161088822	0.02069080842812906	2940	395	3678	0.4192214458862113	0.05632396977042635	0.5244545843433623
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,e2e4,a6b5	12	0.02705395360752048	0.10118227221484188	2323	239	2039	0.5048902412519017	0.0519452292979787	0.4431645294501195
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,e2e4,a6b5,f1b5	13	0.024472626584329547	0.091528062803341	2138	216	1808	0.513695338779433	0.05189812590100913	0.4344065353195579
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,e2e4,a6b5,c3b5	13	0.0009114024797143392	0.0034086616373180815	57	9	89	0.36774193548387096	0.05806451612903226	0.5741935483870968
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,e2e4,b8d7	12	0.02705395360752048	0.10118227221484188	1108	130	1074	0.47923875432525953	0.056228373702422146	0.46453287197231835
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,e2e4,b8d7,g1f3	13	0.010075023380655334	0.037680768329143105	409	57	395	0.47502903600464574	0.06620209059233449	0.45876887340301975
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,e2e4,b8d7,b5a6	13	0.0065762638094405326	0.024595344716583537	260	25	277	0.4626334519572954	0.04448398576512456	0.4928825622775801
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,e2e4,d8a5	12	0.02705395360752048	0.10118227221484188	279	30	282	0.4720812182741117	0.050761421319796954	0.47715736040609136
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,e2e4,d8a5,c1d2	13	0.015426704510548903	0.05769615183824317	165	19	153	0.4896142433234421	0.05637982195845697	0.4540059347181009
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,e2e4,d8a5,b5a6	13	0.004028338269816924	0.01506605745330979	38	5	45	0.4318181818181818	0.056818181818181816	0.5113636363636364
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,e2e4,c8d7	12	0.02705395360752048	0.10118227221484188	74	8	77	0.46540880503144655	0.050314465408805034	0.48427672955974843
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,e2e4,e7e6	12	0.02705395360752048	0.10118227221484188	72	7	66	0.496551724137931	0.04827586206896552	0.45517241379310347
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,e2e4,d8b6	12	0.02705395360752048	0.10118227221484188	32	0	32	0.5	0.0	0.5
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,e2e4,e7e5	12	0.02705395360752048	0.10118227221484188	24	6	20	0.48	0.12	0.4
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,e2e4,c8b7	12	0.02705395360752048	0.10118227221484188	17	3	18	0.4473684210526316	0.07894736842105263	0.47368421052631576
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,e2e4,a6a5	12	0.02705395360752048	0.10118227221484188	18	2	10	0.6	0.06666666666666667	0.3333333333333333
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,a7a6,b5a6	11	0.005026329633580038	0.01879856307157441	1396	139	1587	0.44714926329276106	0.044522741832158874	0.5083279948750801
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,g7g6	10	0.037980827157522955	0.1420489754713363	1504	168	1541	0.4680983504512916	0.05228758169934641	0.47961406784936195
A57: Benko Gambit	d2d4,g8f6,c2c4,c7c5,d4d5,b7b5,c4b5,d7d6,b1c3,g7g6,e2e4	11	0.029233297715703162	0.1093330583070696	2820	317	3111	0.4513444302176697	0.050736235595390526	0.49791933418693984
